,Date,Rate,Committee,Station,Program,Time
0,2018-10-23,450.0,2018,test,Megyn Kelly Today,9:57 AM
1,2018-10-25,450.0,2018,test,Megyn Kelly Today,9:59 AM
2,2018-10-23,270.0,2018,test,Rachael Ray,11:32 AM
3,2018-10-24,270.0,2018,test,Rachael Ray,11:51 AM
4,2018-10-25,270.0,2018,test,Rachael Ray,11:45 AM
5,2018-10-26,270.0,2018,test,Rachael Ray,11:22 AM
6,2018-10-23,360.0,2018,test,News 4 at Noon,12:25 PM
7,2018-10-24,360.0,2018,test,News 4 at Noon,12:31 PM
8,2018-10-25,360.0,2018,test,News 4 at Noon,12:43 PM
9,2018-10-26,360.0,2018,test,News 4 at Noon,12:45 PM
10,2018-10-24,650.0,2018,test,Days of Our Lives,1:58 PM
11,2018-10-23,270.0,2018,test,Dr Oz,2:48 PM
12,2018-10-24,270.0,2018,test,Dr Oz,2:21 PM
13,2018-10-24,270.0,2018,test,Dr Oz,2:56 PM
14,2018-10-25,270.0,2018,test,Dr Oz,2:37 PM
15,2018-10-26,270.0,2018,test,Dr Oz,2:46 PM
16,2018-10-23,270.0,2018,test,Dr Phil,3:31 PM
17,2018-10-24,270.0,2018,test,Dr Phil,3:47 PM
18,2018-10-25,270.0,2018,test,Dr Phil,3:30 PM
19,2018-10-26,270.0,2018,test,Dr Phil,3:23 PM
20,2018-10-23,1900.0,2018,test,New Amsterdam,9:33 PM
21,2018-10-24,1800.0,2018,test,Chicago PD,9:16 PM
22,2018-10-26,1500.0,2018,test,Blindspot,6:58 PM
23,2018-10-23,1000.0,2018,test,Late News Wkdy,10:09 PM
24,2018-10-24,1000.0,2018,test,Late News Wkdy,10:23 PM
25,2018-10-25,1000.0,2018,test,Late News Wkdy,10:31 PM
26,2018-10-26,1000.0,2018,test,Late News Wkdy,10:10 PM
27,2018-10-27,900.0,2018,test,Late News Sa,10:08 PM
28,2018-10-28,900.0,2018,test,Late News Su,10:18 PM
29,2018-10-23,40.0,2018,test,Last Call,1:09 AM
30,2018-10-26,40.0,2018,test,Last Call,12:58 AM
31,2018-10-23,200.0,2018,test,Late Night,12:20 AM
32,2018-10-24,200.0,2018,test,Late Night,12:32 AM
33,2018-10-25,200.0,2018,test,Late Night,12:23 AM
34,2018-10-26,200.0,2018,test,Late Night,12:38 AM
35,2018-10-28,30.0,2018,test,Major Crimes,12:18 AM
36,2018-10-28,30.0,2018,test,Major Crimes,1:18 AM
37,2018-10-28,50.0,2018,test,Person of Interest,11:32 PM
38,2018-10-29,450.0,2018,test,Today Third Hour,9:56 AM
39,2018-10-29,270.0,2018,test,Rachael Ray,11:48 AM
40,2018-10-29,360.0,2018,test,News 4 at Noon,12:39 PM
41,2018-10-29,270.0,2018,test,Dr Oz,2:17 PM
42,2018-10-29,270.0,2018,test,Dr Phil,3:41 PM
43,2018-10-29,1000.0,2018,test,Late News Wkdy,10:11 PM
44,2018-10-29,40.0,2018,test,Last Call,12:56 AM
45,2018-10-29,200.0,2018,test,Late Night,12:26 AM
46,2018-10-25,1300.0,2018,test,Days of Our Lives,1:59 PM
47,2018-10-26,1300.0,2018,test,Days of Our Lives,1:27 PM
48,2018-10-24,1600.0,2018,test,News 4 at 6p,6:30 PM
49,2018-10-27,900.0,2018,test,Early News Sa,5:41 PM
50,2018-10-27,120.0,2018,test,"Listener, The",6:51 PM
51,2018-10-26,3000.0,2018,test,Midnight Texas,8:44 PM
52,2018-10-28,60.0,2018,test,Major Crimes,12:29 AM
53,2018-10-28,60.0,2018,test,Major Crimes,1:31 AM
54,2018-10-28,100.0,2018,test,Person of Interest,11:20 PM
